3643,阿坝,513200,ABA
3090,阿克苏,652900,AKESU
3632,阿拉善,152900,ALASHAN
899,安康,610900,ANKANG
196,安庆,340800,ANQING
758,鞍山,210300,ANSHAN
388,安顺,520400,ANSHUN
454,安阳,410500,ANYANG
3633,白城,220800,BAICHENG
356,百色,451000,BAISE
5891,白沙,469025,BAISHA
634,白山,220600,BAISHAN
275,白银,620400,BAIYIN
426,保定,130600,BAODING
188,宝鸡,610300,BAOJI
994,保山,530500,BAOSHAN
1181,包头,150200,BAOTOU
789,巴彦淖尔,150800,BAYANNAOER
925,巴中,511900,BAZHONG
358,北海,450500,BEIHAI
3,北京,110100,BEIJING
200,蚌埠,340300,BENGBU
760,本溪,210500,BENXI
390,毕节,522401,BIJIE
824,滨州,371600,BINZHOU
1126,亳州,341600,BOZHOU
5860,巴音郭楞,652800,BYGL
430,沧州,130900,CANGZHOU
623,长春,220100,CHANGCHUN
573,常德,430700,CHANGDE
983,昌吉,652300,CHANGJI
5781,昌江,469026,CHANGJIANG
576,长沙,430100,CHANGSHA
883,长治,140400,CHANGZHI
651,常州,320400,CHANGZHOU
3244,朝阳,211300,CHAOYANG
1138,潮州,445100,CHAOZHOU
433,承德,130800,CHENGDE
70,成都,510100,CHENGDU
5859,澄迈县,469023,CHENGMAI
585,郴州,431000,CHENZHOU
791,赤峰,150400,CHIFENG
205,池州,341700,CHIZHOU
40,重庆,500100,CHONGQING
3640,崇左,451400,CHONGZUO
996,楚雄,532300,CHUXIONG
207,滁州,341100,CHUZHOU
998,大理,532900,DALI
763,大连,210200,DALIAN
3071,儋州,460400,DAN
753,丹东,210600,DANDONG
514,大庆,230600,DAQING
885,大同,140200,DATONG
3638,大兴安岭,232700,DAXINGANLING
935,达州,511700,DAZHOU
5890,屯昌,469022,DC
3650,德宏,533100,DEHONG
937,德阳,510600,DEYANG
827,德州,371400,DEZHOU
5884,定安,469021,DINGANXIAN
1135,定西,621100,DINGXI
1000,迪庆,533400,DIQINGZANGZU
5742,东方,469007,DONGFANG
109,东莞,441900,DONGGUAN
829,东营,370500,DONGYING
793,鄂尔多斯,150600,EERDUOSI
541,恩施,422800,ENSHI
543,鄂州,420700,EZHOU
360,防城港,450600,FANGCHENGGANG
61,佛山,440600,FOSHAN
770,抚顺,210400,FUSHUN
1176,阜新,210900,FUXIN
1125,阜阳,341200,FUYANG
745,抚州,361000,FUZHOU
98,福州,350100,FUZHOU
3658,甘南,623000,GANNAN
718,赣州,360700,GANZHOU
3644,甘孜,513300,GANZI
2166,巩义市,410181,GONGYI
3642,广安,511600,GUANGAN
3453,广元,510800,GUANGYUAN
8,广州,440100,GUANGZHOU
362,贵港,450800,GUIGANG
364,桂林,450300,GUILIN
394,贵阳,520100,GUIYANG
1183,固原,640400,GUYUAN
508,哈尔滨,230100,HAERBIN
3660,海北,632200,HAIBEI
3659,海东,630200,HAIDONG
414,海口,460100,HAIKOU
5788,海南州,632500,HAINANZHOU
3665,海西,632800,HAIXI
3669,哈密,652200,HAMI
435,邯郸,130400,HANDAN
16,杭州,330100,HANGZHOU
902,汉中,610700,HANZHONG
460,鹤壁,410600,HEBI
1144,河池,451200,HECHI
210,合肥,340100,HEFEI
1154,鹤岗,230400,HEGANG
3637,黑河,231100,HEIHE
1148,衡水,131100,HENGSHUI
587,衡阳,430400,HENGYANG
3673,和田,653200,HETIAN
319,河源,441600,HEYUAN
832,菏泽,371700,HEZE
370,贺州,451100,HEZHOU
1002,红河,532500,HONGHE
666,淮安,320800,HUAIAN
1127,淮北,340600,HUAIBEI
590,怀化,431200,HUAIHUA
215,淮南,340400,HUAINAN
547,黄冈,421100,HUANGGANG
3661,黄南,632300,HUANGNAN
217,黄山,341000,HUANGSHAN
550,黄石,420200,HUANGSHI
796,呼和浩特,150100,HUHEHAOTE
163,惠州,441300,HUIZHOU
776,葫芦岛,211400,HULUDAO
801,呼伦贝尔,150700,HULUNBEIER
173,湖州,330500,HUZHOU
523,佳木斯,230800,JIAMUSI
747,吉安,360800,JIAN
317,江门,440700,JIANGMEN
462,焦作,410800,JIAOZUO
156,嘉兴,330400,JIAXING
1136,嘉峪关,620200,JIAYUGUAN
327,揭阳,445200,JIEYANG
628,吉林,220200,JILIN
837,济南,370100,JINAN
